no,city,year,commodity,price
1,Kota Malang,2024-03-31,bawang_merah,33666
2,Kabupaten Sampang,2024-03-31,bawang_merah,33500
3,Kabupaten Gresik,2024-03-31,bawang_merah,33333
4,Kabupaten Sumenep,2024-03-31,bawang_merah,32000
5,Kota Madiun,2024-03-31,bawang_merah,31666
6,Kabupaten Pasuruan,2024-03-31,bawang_merah,31600
7,Kota Kediri,2024-03-31,bawang_merah,31000
8,Kota Blitar,2024-03-31,bawang_merah,31000
9,Kota Batu,2024-03-31,bawang_merah,30500
10,Kabupaten Pamekasan,2024-03-31,bawang_merah,30000
11,Kabupaten Sidoarjo,2024-03-31,bawang_merah,30000
12,Kabupaten Jember,2024-03-31,bawang_merah,29400
13,Kabupaten Probolinggo,2024-03-31,bawang_merah,29333
14,Kabupaten Bondowoso,2024-03-31,bawang_merah,29250
15,Kabupaten Magetan,2024-03-31,bawang_merah,28833
16,Kota Probolinggo,2024-03-31,bawang_merah,28666
17,Kabupaten Trenggalek,2024-03-31,bawang_merah,28500
18,Kabupaten Banyuwangi,2024-03-31,bawang_merah,28200
19,Kabupaten Tuban,2024-03-31,bawang_merah,28000
20,Kabupaten Tulungagung,2024-03-31,bawang_merah,28000
21,Kabupaten Malang,2024-03-31,bawang_merah,27800
22,Kabupaten Bojonegoro,2024-03-31,bawang_merah,27500
23,Kabupaten Lamongan,2024-03-31,bawang_merah,27000
24,Kabupaten Ngawi,2024-03-31,bawang_merah,27000
25,Kota Pasuruan,2024-03-31,bawang_merah,27000
26,Kota Surabaya,2024-03-31,bawang_merah,26833
27,Kabupaten Blitar,2024-03-31,bawang_merah,26500
28,Kota Mojokerto,2024-03-31,bawang_merah,26000
29,Kabupaten Jombang,2024-03-31,bawang_merah,25333
30,Kabupaten Mojokerto,2024-03-31,bawang_merah,25250
31,Kabupaten Madiun,2024-03-31,bawang_merah,25000
32,Kabupaten Pacitan,2024-03-31,bawang_merah,25000
33,Kabupaten Ponorogo,2024-03-31,bawang_merah,25000
34,Kabupaten Kediri,2024-03-31,bawang_merah,24666
35,Kabupaten Bangkalan,2024-03-31,bawang_merah,24000
36,Kabupaten Situbondo,2024-03-31,bawang_merah,24000
37,Kabupaten Nganjuk,2024-03-31,bawang_merah,23000
38,Kabupaten Lumajang,2024-03-31,bawang_merah,22666
