no,city,year,commodity,price
1,Kabupaten Madiun,2024-01-09,kacang_tanah,30250
2,Kabupaten Bojonegoro,2024-01-09,kacang_tanah,30000
3,Kabupaten Gresik,2024-01-09,kacang_tanah,30000
4,Kabupaten Ponorogo,2024-01-09,kacang_tanah,30000
5,Kabupaten Pasuruan,2024-01-09,kacang_tanah,29666
6,Kabupaten Tulungagung,2024-01-09,kacang_tanah,29666
7,Kabupaten Probolinggo,2024-01-09,kacang_tanah,29333
8,Kota Surabaya,2024-01-09,kacang_tanah,29000
9,Kabupaten Blitar,2024-01-09,kacang_tanah,29000
10,Kabupaten Magetan,2024-01-09,kacang_tanah,29000
11,Kabupaten Trenggalek,2024-01-09,kacang_tanah,29000
12,Kota Batu,2024-01-09,kacang_tanah,29000
13,Kabupaten Lamongan,2024-01-09,kacang_tanah,28750
14,Kota Blitar,2024-01-09,kacang_tanah,28500
15,Kota Malang,2024-01-09,kacang_tanah,28416
16,Kabupaten Lumajang,2024-01-09,kacang_tanah,28000
17,Kabupaten Nganjuk,2024-01-09,kacang_tanah,28000
18,Kabupaten Sidoarjo,2024-01-09,kacang_tanah,28000
19,Kota Madiun,2024-01-09,kacang_tanah,28000
20,Kota Mojokerto,2024-01-09,kacang_tanah,28000
21,Kabupaten Banyuwangi,2024-01-09,kacang_tanah,27900
22,Kota Kediri,2024-01-09,kacang_tanah,27833
23,Kabupaten Ngawi,2024-01-09,kacang_tanah,27666
24,Kabupaten Pacitan,2024-01-09,kacang_tanah,27666
25,Kota Probolinggo,2024-01-09,kacang_tanah,27666
26,Kabupaten Pamekasan,2024-01-09,kacang_tanah,27500
27,Kabupaten Kediri,2024-01-09,kacang_tanah,27333
28,Kabupaten Jember,2024-01-09,kacang_tanah,27200
29,Kabupaten Mojokerto,2024-01-09,kacang_tanah,27100
30,Kabupaten Bangkalan,2024-01-09,kacang_tanah,27000
31,Kabupaten Sampang,2024-01-09,kacang_tanah,27000
32,Kabupaten Sumenep,2024-01-09,kacang_tanah,27000
33,Kabupaten Malang,2024-01-09,kacang_tanah,26800
34,Kabupaten Jombang,2024-01-09,kacang_tanah,26666
35,Kabupaten Tuban,2024-01-09,kacang_tanah,26333
36,Kabupaten Bondowoso,2024-01-09,kacang_tanah,26250
37,Kabupaten Situbondo,2024-01-09,kacang_tanah,26000
38,Kota Pasuruan,2024-01-09,kacang_tanah,25950
