Kabupaten Pamekasan	Rp10.000
Kabupaten Sumenep	Rp9.000
Kota Surabaya	Rp8.500
Kabupaten Sampang	Rp8.500
Kota Batu	Rp8.375
Kabupaten Bojonegoro	Rp8.000
Kabupaten Jombang	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kota Malang	Rp7.666
Kabupaten Gresik	Rp7.666
Kabupaten Lumajang	Rp7.666
Kabupaten Lamongan	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kota Kediri	Rp7.333
Kabupaten Pacitan	Rp7.333
Kabupaten Banyuwangi	Rp7.200
Kabupaten Tulungagung	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Situbondo	Rp6.833
Kabupaten Tuban	Rp6.833
Kabupaten Kediri	Rp6.666
Kabupaten Ngawi	Rp6.666
Kota Madiun	Rp6.666
Kabupaten Blitar	Rp6.500
Kabupaten Pasuruan	Rp6.500
Kabupaten Trenggalek	Rp6.500
Kota Blitar	Rp6.500
Kabupaten Bondowoso	Rp6.125
Kabupaten Mojokerto	Rp6.075
Kabupaten Bangkalan	Rp6.000
Kabupaten Magetan	Rp5.833
Kabupaten Jember	Rp5.800
Kabupaten Nganjuk	Rp5.666
Kota Pasuruan	Rp5.450
Kota Probolinggo	Rp5.333
Kabupaten Malang	Rp5.200
Kabupaten Madiun	Belum ada data
