Kota Madiun	Rp12.333
Kabupaten Malang	Rp11.200
Kabupaten Sidoarjo	Rp10.500
Kota Surabaya	Rp10.125
Kota Blitar	Rp9.750
Kabupaten Situbondo	Rp9.666
Kabupaten Bondowoso	Rp9.375
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Lumajang	Rp9.333
Kabupaten Nganjuk	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp9.000
Kabupaten Lamongan	Rp8.875
Kabupaten Gresik	Rp8.666
Kabupaten Ngawi	Rp8.666
Kota Pasuruan	Rp8.650
Kabupaten Jember	Rp8.625
Kabupaten Banyuwangi	Rp8.400
Kabupaten Jombang	Rp8.333
Kabupaten Kediri	Rp8.333
Kabupaten Probolinggo	Rp8.333
Kabupaten Sampang	Rp8.000
Kabupaten Madiun	Rp7.875
Kabupaten Pasuruan	Rp7.833
Kota Mojokerto	Rp7.750
Kabupaten Tulungagung	Rp7.666
Kota Kediri	Rp7.500
Kabupaten Pacitan	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Mojokerto	Rp7.225
Kabupaten Tuban	Rp7.166
Kabupaten Magetan	Rp7.083
Kabupaten Bojonegoro	Rp7.000
Kota Probolinggo	Rp6.333
Kabupaten Ponorogo	Rp6.250
Kabupaten Blitar	Rp6.000
