no,city,year,commodity,price
1,Kabupaten Sidoarjo,2024-02-29,jagung,13000
2,Kabupaten Malang,2024-02-29,jagung,10600
3,Kota Madiun,2024-02-29,jagung,10000
4,Kota Blitar,2024-02-29,jagung,9750
5,Kota Surabaya,2024-02-29,jagung,9700
6,Kabupaten Lumajang,2024-02-29,jagung,9666
7,Kabupaten Nganjuk,2024-02-29,jagung,9666
8,Kabupaten Ngawi,2024-02-29,jagung,9666
9,Kabupaten Madiun,2024-02-29,jagung,9500
10,Kabupaten Sampang,2024-02-29,jagung,9500
11,Kabupaten Trenggalek,2024-02-29,jagung,9500
12,Kota Mojokerto,2024-02-29,jagung,9500
13,Kabupaten Bondowoso,2024-02-29,jagung,9375
14,Kabupaten Lamongan,2024-02-29,jagung,9375
15,Kota Malang,2024-02-29,jagung,9333
16,Kabupaten Bangkalan,2024-02-29,jagung,9333
17,Kabupaten Kediri,2024-02-29,jagung,9333
18,Kabupaten Jember,2024-02-29,jagung,9125
19,Kabupaten Gresik,2024-02-29,jagung,9000
20,Kabupaten Pamekasan,2024-02-29,jagung,9000
21,Kabupaten Sumenep,2024-02-29,jagung,9000
22,Kota Batu,2024-02-29,jagung,8875
23,Kabupaten Jombang,2024-02-29,jagung,8833
24,Kabupaten Banyuwangi,2024-02-29,jagung,8800
25,Kabupaten Situbondo,2024-02-29,jagung,8666
26,Kota Pasuruan,2024-02-29,jagung,8650
27,Kota Kediri,2024-02-29,jagung,8500
28,Kabupaten Magetan,2024-02-29,jagung,8400
29,Kabupaten Pasuruan,2024-02-29,jagung,8166
30,Kabupaten Ponorogo,2024-02-29,jagung,8000
31,Kabupaten Tuban,2024-02-29,jagung,7666
32,Kabupaten Pacitan,2024-02-29,jagung,7500
33,Kabupaten Mojokerto,2024-02-29,jagung,7125
34,Kabupaten Bojonegoro,2024-02-29,jagung,7000
35,Kabupaten Tulungagung,2024-02-29,jagung,7000
36,Kota Probolinggo,2024-02-29,jagung,6833
37,Kabupaten Probolinggo,2024-02-29,jagung,6666
38,Kabupaten Blitar,2024-02-29,jagung,6000
