no,tanggal,hrg
0,2023-01-01,10550.973684210527
1,2023-01-02,10529.21052631579
2,2023-01-03,11508.605263157895
3,2023-01-04,10411.894736842105
4,2023-01-05,10145.631578947368
5,2023-01-06,9835.157894736842
6,2023-01-07,9828.578947368422
7,2023-01-08,9732.894736842105
8,2023-01-09,9237.105263157895
9,2023-01-10,8963.236842105263
10,2023-01-11,8694.605263157895
11,2023-01-12,8407.394736842105
12,2023-01-13,8207.815789473685
13,2023-01-14,8105.8421052631575
14,2023-01-15,7975.105263157895
15,2023-01-16,7310.789473684211
16,2023-01-17,7304.736842105263
17,2023-01-18,7086.894736842105
18,2023-01-19,6988.026315789473
19,2023-01-20,7689.868421052632
20,2023-01-21,7743.184210526316
21,2023-01-22,7730.368421052632
22,2023-01-23,7766.131578947368
23,2023-01-24,7625.3421052631575
24,2023-01-25,6573.868421052632
25,2023-01-26,6414.736842105263
26,2023-01-27,6415.815789473684
27,2023-01-28,6356.263157894737
28,2023-01-29,6346.5
29,2023-01-30,6134.868421052632
30,2023-01-31,6082.289473684211
31,2023-02-01,6114.605263157895
32,2023-02-02,6186.6578947368425
33,2023-02-03,6109.0526315789475
34,2023-02-04,6150.736842105263
35,2023-02-05,6209.921052631579
36,2023-02-06,6217.6578947368425
37,2023-02-07,6150.315789473684
38,2023-02-08,6151.289473684211
39,2023-02-09,6131.0526315789475
40,2023-02-10,6091.605263157895
41,2023-02-11,6100.789473684211
42,2023-02-12,6114.263157894737
43,2023-02-13,6115.236842105263
44,2023-02-14,6121.8421052631575
45,2023-02-15,6145.0526315789475
46,2023-02-16,6144.815789473684
47,2023-02-17,6165.421052631579
48,2023-02-18,6233.105263157895
49,2023-02-19,6240.894736842105
50,2023-02-20,6183.4473684210525
51,2023-02-21,6215.789473684211
52,2023-02-22,6307.5
53,2023-02-23,6273.526315789473
54,2023-02-24,6347.6578947368425
55,2023-02-25,6369.578947368421
56,2023-02-26,6373.9473684210525
57,2023-02-27,6570.921052631579
58,2023-02-28,6689.973684210527
59,2023-03-01,6836.026315789473
60,2023-03-02,7053.3421052631575
61,2023-03-03,7389.315789473684
62,2023-03-04,7552.5
63,2023-03-05,7637.5526315789475
64,2023-03-06,8372.447368421053
65,2023-03-07,8561.894736842105
66,2023-03-08,8600.71052631579
67,2023-03-09,8680.052631578947
68,2023-03-10,8734.236842105263
69,2023-03-11,8755.315789473685
70,2023-03-12,8801.131578947368
71,2023-03-13,8319.815789473685
72,2023-03-14,8400.736842105263
73,2023-03-15,8373.736842105263
74,2023-03-16,8366.078947368422
75,2023-03-17,8435.578947368422
76,2023-03-18,8452.684210526315
77,2023-03-19,8454.236842105263
78,2023-03-20,8361.868421052632
79,2023-03-21,8294.21052631579
80,2023-03-22,8266.052631578947
81,2023-03-23,8260.578947368422
82,2023-03-24,8513.447368421053
83,2023-03-25,8735.552631578947
84,2023-03-26,8787.315789473685
85,2023-03-27,9638.605263157895
86,2023-03-28,10062.763157894737
87,2023-03-29,10522.868421052632
88,2023-03-30,10871.763157894737
89,2023-03-31,10752.947368421053
90,2023-04-01,10812.131578947368
91,2023-04-02,10738.026315789473
92,2023-04-03,10785.421052631578
93,2023-04-04,10724.842105263158
94,2023-04-05,10785.368421052632
95,2023-04-06,11161.921052631578
96,2023-04-07,11264.078947368422
97,2023-04-08,11552.236842105263
98,2023-04-09,11659.947368421053
99,2023-04-10,11984.5
100,2023-04-11,12145.921052631578
101,2023-04-12,12156.657894736842
102,2023-04-13,12224.842105263158
103,2023-04-14,12014.263157894737
104,2023-04-15,11947.394736842105
105,2023-04-16,11903.763157894737
106,2023-04-17,12053.763157894737
107,2023-04-18,11980.105263157895
108,2023-04-19,12033.605263157895
109,2023-04-20,12173.5
110,2023-04-21,12535.184210526315
111,2023-04-22,12557.105263157895
112,2023-04-23,12615.394736842105
113,2023-04-24,12901.605263157895
114,2023-04-25,12961.947368421053
115,2023-04-26,13281.184210526315
116,2023-04-27,13177.447368421053
117,2023-04-28,12892.552631578947
118,2023-04-29,12679.184210526315
119,2023-04-30,12589.28947368421
120,2023-05-01,12429.447368421053
121,2023-05-02,11834.184210526315
122,2023-05-03,11596.0
123,2023-05-04,11647.21052631579
124,2023-05-05,11764.28947368421
125,2023-05-06,11797.184210526315
126,2023-05-07,11708.368421052632
127,2023-05-08,11625.684210526315
128,2023-05-09,11509.052631578947
129,2023-05-10,11528.552631578947
130,2023-05-11,11370.052631578947
131,2023-05-12,11301.552631578947
132,2023-05-13,11202.21052631579
133,2023-05-14,11161.657894736842
134,2023-05-15,10908.631578947368
135,2023-05-16,10847.973684210527
136,2023-05-17,10690.842105263158
137,2023-05-18,10721.105263157895
138,2023-05-19,10800.28947368421
139,2023-05-20,10807.078947368422
140,2023-05-21,10824.184210526315
141,2023-05-22,10569.131578947368
142,2023-05-23,10589.763157894737
143,2023-05-24,10637.342105263158
144,2023-05-25,10698.105263157895
145,2023-05-26,10720.921052631578
146,2023-05-27,10648.842105263158
147,2023-05-28,10640.736842105263
148,2023-05-29,10900.28947368421
149,2023-05-30,10912.78947368421
150,2023-05-31,10889.736842105263
151,2023-06-01,10931.631578947368
152,2023-06-02,10967.394736842105
153,2023-06-03,11027.447368421053
154,2023-06-04,11051.552631578947
155,2023-06-05,11385.236842105263
156,2023-06-06,11417.815789473685
157,2023-06-07,11493.5
158,2023-06-08,11577.368421052632
159,2023-06-09,11603.342105263158
160,2023-06-10,11593.28947368421
161,2023-06-11,11558.842105263158
162,2023-06-12,11561.026315789473
163,2023-06-13,11590.157894736842
164,2023-06-14,11466.28947368421
165,2023-06-15,11325.71052631579
166,2023-06-16,11378.131578947368
167,2023-06-17,11247.894736842105
168,2023-06-18,11177.921052631578
169,2023-06-19,10861.684210526315
170,2023-06-20,10718.736842105263
171,2023-06-21,10655.131578947368
172,2023-06-22,10515.236842105263
173,2023-06-23,10401.868421052632
174,2023-06-24,10409.552631578947
175,2023-06-25,10293.315789473685
176,2023-06-26,9967.868421052632
177,2023-06-27,9766.315789473685
178,2023-06-28,9516.315789473685
179,2023-06-29,9495.473684210527
180,2023-06-30,9389.105263157895
181,2023-07-01,9340.157894736842
182,2023-07-02,9216.263157894737
183,2023-07-03,8695.421052631578
184,2023-07-04,8600.526315789473
185,2023-07-05,8407.28947368421
186,2023-07-06,8222.921052631578
187,2023-07-07,8127.9473684210525
188,2023-07-08,8073.078947368421
189,2023-07-09,7988.631578947368
190,2023-07-10,7607.105263157895
191,2023-07-11,7575.394736842105
192,2023-07-12,7547.473684210527
193,2023-07-13,7525.078947368421
194,2023-07-14,7340.184210526316
195,2023-07-15,7316.5526315789475
196,2023-07-16,7291.921052631579
197,2023-07-17,7234.894736842105
198,2023-07-18,7120.131578947368
199,2023-07-19,7152.5
200,2023-07-20,7054.236842105263
201,2023-07-21,7014.763157894737
202,2023-07-22,7049.1578947368425
203,2023-07-23,7026.131578947368
204,2023-07-24,6988.421052631579
205,2023-07-25,6941.921052631579
206,2023-07-26,6989.078947368421
207,2023-07-27,6954.210526315789
208,2023-07-28,6752.473684210527
209,2023-07-29,6768.5526315789475
210,2023-07-30,6819.5526315789475
211,2023-07-31,6842.789473684211
