Kabupaten Gresik	Rp18.000
Kabupaten Sidoarjo	Rp15.500
Kabupaten Pamekasan	Rp15.000
Kabupaten Sampang	Rp15.000
Kota Kediri	Rp14.666
Kabupaten Ponorogo	Rp14.500
Kabupaten Magetan	Rp14.333
Kabupaten Ngawi	Rp14.333
Kabupaten Jombang	Rp14.000
Kabupaten Nganjuk	Rp14.000
Kabupaten Pasuruan	Rp14.000
Kota Surabaya	Rp13.166
Kota Blitar	Rp12.500
Kabupaten Kediri	Rp12.333
Kabupaten Mojokerto	Rp12.250
Kota Pasuruan	Rp12.000
Kabupaten Pacitan	Rp11.666
Kota Batu	Rp11.500
Kabupaten Tulungagung	Rp11.333
Kabupaten Lamongan	Rp10.500
Kota Mojokerto	Rp10.500
Kabupaten Bojonegoro	Rp10.000
Kabupaten Trenggalek	Rp10.000
Kota Probolinggo	Rp9.666
Kabupaten Malang	Rp9.300
Kota Malang	Rp9.166
Kabupaten Sumenep	Rp9.000
Kabupaten Jember	Rp8.400
Kabupaten Banyuwangi	Rp8.400
Kota Madiun	Rp8.333
Kabupaten Madiun	Rp8.250
Kabupaten Lumajang	Rp7.666
Kabupaten Situbondo	Rp7.666
Kabupaten Tuban	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp5.000
