Kabupaten Ponorogo	Rp17.500
Kabupaten Pamekasan	Rp16.500
Kabupaten Gresik	Rp16.000
Kabupaten Kediri	Rp16.000
Kabupaten Sidoarjo	Rp16.000
Kabupaten Bojonegoro	Rp15.000
Kota Kediri	Rp14.333
Kabupaten Jombang	Rp14.333
Kabupaten Magetan	Rp13.666
Kabupaten Nganjuk	Rp13.666
Kabupaten Ngawi	Rp13.666
Kota Mojokerto	Rp13.500
Kabupaten Pasuruan	Rp13.333
Kabupaten Tulungagung	Rp13.333
Kabupaten Lamongan	Rp13.250
Kabupaten Mojokerto	Rp13.000
Kabupaten Sampang	Rp12.500
Kota Probolinggo	Rp12.333
Kota Batu	Rp12.250
Kota Pasuruan	Rp12.200
Kabupaten Trenggalek	Rp12.000
Kota Blitar	Rp12.000
Kabupaten Pacitan	Rp11.666
Kota Surabaya	Rp11.500
Kota Madiun	Rp11.000
Kabupaten Malang	Rp10.800
Kabupaten Madiun	Rp10.750
Kabupaten Bangkalan	Rp10.333
Kabupaten Sumenep	Rp10.000
Kabupaten Situbondo	Rp9.666
Kota Malang	Rp9.333
Kabupaten Banyuwangi	Rp9.000
Kabupaten Blitar	Rp9.000
Kabupaten Lumajang	Rp8.666
Kabupaten Jember	Rp8.200
Kabupaten Bondowoso	Rp8.125
Kabupaten Tuban	Rp7.333
Kabupaten Probolinggo	Rp7.000
