Kabupaten Sampang	Rp13.000
Kabupaten Ngawi	Rp12.000
Kabupaten Pamekasan	Rp12.000
Kota Blitar	Rp12.000
Kota Kediri	Rp11.333
Kabupaten Gresik	Rp10.333
Kabupaten Kediri	Rp10.000
Kabupaten Tulungagung	Rp10.000
Kota Surabaya	Rp9.833
Kabupaten Mojokerto	Rp9.625
Kota Batu	Rp9.625
Kabupaten Pacitan	Rp9.333
Kabupaten Pasuruan	Rp9.233
Kabupaten Jombang	Rp9.000
Kabupaten Nganjuk	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Madiun	Rp8.666
Kabupaten Ponorogo	Rp8.500
Kota Mojokerto	Rp8.500
Kabupaten Lamongan	Rp8.250
Kabupaten Madiun	Rp8.250
Kabupaten Bojonegoro	Rp8.000
Kabupaten Lumajang	Rp8.000
Kabupaten Sidoarjo	Rp8.000
Kota Probolinggo	Rp8.000
Kota Pasuruan	Rp7.900
Kabupaten Jember	Rp7.800
Kabupaten Banyuwangi	Rp7.800
Kota Malang	Rp7.666
Kabupaten Trenggalek	Rp7.500
Kabupaten Situbondo	Rp7.333
Kabupaten Tuban	Rp7.333
Kabupaten Blitar	Rp7.000
Kabupaten Malang	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp5.000
