Kabupaten Gresik	Rp13.000
Kabupaten Pamekasan	Rp12.000
Kabupaten Bojonegoro	Rp11.000
Kabupaten Ngawi	Rp11.000
Kota Kediri	Rp10.666
Kabupaten Kediri	Rp10.666
Kabupaten Sampang	Rp10.500
Kabupaten Madiun	Rp10.000
Kabupaten Nganjuk	Rp10.000
Kota Blitar	Rp10.000
Kabupaten Pasuruan	Rp9.900
Kabupaten Tulungagung	Rp9.666
Kabupaten Sidoarjo	Rp9.500
Kabupaten Trenggalek	Rp9.500
Kota Mojokerto	Rp9.500
Kota Pasuruan	Rp9.400
Kabupaten Pacitan	Rp9.333
Kota Madiun	Rp9.333
Kabupaten Lamongan	Rp9.250
Kabupaten Jember	Rp9.200
Kota Surabaya	Rp9.166
Kabupaten Bondowoso	Rp9.000
Kabupaten Jombang	Rp9.000
Kabupaten Lumajang	Rp9.000
Kabupaten Malang	Rp9.000
Kota Batu	Rp8.875
Kota Malang	Rp8.833
Kabupaten Mojokerto	Rp8.750
Kabupaten Magetan	Rp8.666
Kota Probolinggo	Rp8.666
Kabupaten Blitar	Rp8.500
Kabupaten Ponorogo	Rp8.500
Kabupaten Bangkalan	Rp8.000
Kabupaten Banyuwangi	Rp7.800
Kabupaten Tuban	Rp7.500
Kabupaten Probolinggo	Rp7.333
Kabupaten Situbondo	Rp7.333
Kabupaten Sumenep	Rp6.000
