no,city,year,commodity,price
1,Kabupaten Bojonegoro,2024-05-16,kentang,18000
2,Kabupaten Tuban,2024-05-16,kentang,18000
3,Kota Batu,2024-05-16,kentang,18000
4,Kabupaten Lamongan,2024-05-16,kentang,17500
5,Kabupaten Gresik,2024-05-16,kentang,17000
6,Kabupaten Pacitan,2024-05-16,kentang,17000
7,Kabupaten Pamekasan,2024-05-16,kentang,16500
8,Kota Blitar,2024-05-16,kentang,16500
9,Kabupaten Jombang,2024-05-16,kentang,16333
10,Kabupaten Ngawi,2024-05-16,kentang,16333
11,Kota Kediri,2024-05-16,kentang,16000
12,Kabupaten Sampang,2024-05-16,kentang,16000
13,Kabupaten Tulungagung,2024-05-16,kentang,16000
14,Kabupaten Magetan,2024-05-16,kentang,15833
15,Kota Madiun,2024-05-16,kentang,15666
16,Kabupaten Banyuwangi,2024-05-16,kentang,15600
17,Kabupaten Blitar,2024-05-16,kentang,15500
18,Kabupaten Ponorogo,2024-05-16,kentang,15500
19,Kabupaten Sidoarjo,2024-05-16,kentang,15500
20,Kabupaten Sumenep,2024-05-16,kentang,15500
21,Kota Mojokerto,2024-05-16,kentang,15500
22,Kabupaten Bangkalan,2024-05-16,kentang,15333
23,Kabupaten Kediri,2024-05-16,kentang,15333
24,Kabupaten Pasuruan,2024-05-16,kentang,15333
25,Kabupaten Mojokerto,2024-05-16,kentang,15250
26,Kabupaten Malang,2024-05-16,kentang,15200
27,Kabupaten Lumajang,2024-05-16,kentang,15000
28,Kabupaten Nganjuk,2024-05-16,kentang,15000
29,Kabupaten Situbondo,2024-05-16,kentang,15000
30,Kabupaten Trenggalek,2024-05-16,kentang,15000
31,Kota Probolinggo,2024-05-16,kentang,15000
32,Kota Malang,2024-05-16,kentang,14833
33,Kabupaten Madiun,2024-05-16,kentang,14750
34,Kota Surabaya,2024-05-16,kentang,14666
35,Kabupaten Bondowoso,2024-05-16,kentang,14250
36,Kabupaten Jember,2024-05-16,kentang,14200
37,Kabupaten Probolinggo,2024-05-16,kentang,13666
38,Kota Pasuruan,2024-05-16,kentang,13650
