no,city,year,commodity,price
1,Kota Kediri,2024-02-13,tomat,24000
2,Kabupaten Gresik,2024-02-13,tomat,23000
3,Kabupaten Nganjuk,2024-02-13,tomat,23000
4,Kabupaten Sampang,2024-02-13,tomat,23000
5,Kota Batu,2024-02-13,tomat,23000
6,Kota Mojokerto,2024-02-13,tomat,22500
7,Kabupaten Lamongan,2024-02-13,tomat,22000
8,Kabupaten Sidoarjo,2024-02-13,tomat,22000
9,Kabupaten Jombang,2024-02-13,tomat,21666
10,Kabupaten Kediri,2024-02-13,tomat,21666
11,Kabupaten Bojonegoro,2024-02-13,tomat,21000
12,Kabupaten Pamekasan,2024-02-13,tomat,21000
13,Kabupaten Ngawi,2024-02-13,tomat,20666
14,Kabupaten Banyuwangi,2024-02-13,tomat,20400
15,Kabupaten Magetan,2024-02-13,tomat,20333
16,Kabupaten Madiun,2024-02-13,tomat,20000
17,Kabupaten Sumenep,2024-02-13,tomat,20000
18,Kabupaten Trenggalek,2024-02-13,tomat,20000
19,Kota Madiun,2024-02-13,tomat,19333
20,Kabupaten Pasuruan,2024-02-13,tomat,19233
21,Kota Pasuruan,2024-02-13,tomat,18900
22,Kabupaten Bangkalan,2024-02-13,tomat,18333
23,Kabupaten Ponorogo,2024-02-13,tomat,18000
24,Kabupaten Jember,2024-02-13,tomat,17900
25,Kota Malang,2024-02-13,tomat,17833
26,Kabupaten Malang,2024-02-13,tomat,17800
27,Kabupaten Situbondo,2024-02-13,tomat,17666
28,Kabupaten Lumajang,2024-02-13,tomat,17333
29,Kabupaten Pacitan,2024-02-13,tomat,17333
30,Kota Probolinggo,2024-02-13,tomat,17333
31,Kota Blitar,2024-02-13,tomat,17000
32,Kota Surabaya,2024-02-13,tomat,16166
33,Kabupaten Mojokerto,2024-02-13,tomat,15825
34,Kabupaten Bondowoso,2024-02-13,tomat,15375
35,Kabupaten Probolinggo,2024-02-13,tomat,15000
36,Kabupaten Tuban,2024-02-13,tomat,15000
37,Kabupaten Blitar,2024-02-13,tomat,14000
38,Kabupaten Tulungagung,2024-02-13,tomat,13000
