Kota Madiun	Rp12.000
Kota Surabaya	Rp10.625
Kota Blitar	Rp10.500
Kabupaten Malang	Rp10.300
Kabupaten Sidoarjo	Rp10.000
Kabupaten Situbondo	Rp9.666
Kabupaten Bondowoso	Rp9.400
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Lumajang	Rp9.333
Kabupaten Nganjuk	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kabupaten Gresik	Rp8.666
Kota Pasuruan	Rp8.650
Kabupaten Jember	Rp8.625
Kota Batu	Rp8.625
Kabupaten Lamongan	Rp8.500
Kabupaten Ngawi	Rp8.333
Kabupaten Probolinggo	Rp8.333
Kabupaten Banyuwangi	Rp8.200
Kabupaten Sampang	Rp8.000
Kabupaten Madiun	Rp7.875
Kabupaten Kediri	Rp7.833
Kabupaten Pacitan	Rp7.666
Kabupaten Pasuruan	Rp7.666
Kabupaten Tulungagung	Rp7.666
Kabupaten Jombang	Rp7.333
Kota Mojokerto	Rp7.250
Kabupaten Mojokerto	Rp7.225
Kota Kediri	Rp7.000
Kabupaten Bojonegoro	Rp7.000
Kabupaten Magetan	Rp7.000
Kabupaten Trenggalek	Rp6.500
Kabupaten Tuban	Rp6.500
Kabupaten Ponorogo	Rp6.250
Kabupaten Blitar	Rp6.000
Kota Probolinggo	Rp5.666
