Kota Madiun	Rp12.000
Kabupaten Malang	Rp11.400
Kota Surabaya	Rp10.625
Kabupaten Sidoarjo	Rp10.500
Kota Blitar	Rp10.500
Kabupaten Situbondo	Rp9.666
Kabupaten Bondowoso	Rp9.375
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Lumajang	Rp9.333
Kabupaten Lamongan	Rp9.000
Kabupaten Nganjuk	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp8.750
Kabupaten Gresik	Rp8.666
Kota Pasuruan	Rp8.650
Kabupaten Jember	Rp8.625
Kabupaten Ngawi	Rp8.333
Kabupaten Probolinggo	Rp8.333
Kabupaten Sampang	Rp8.250
Kabupaten Banyuwangi	Rp8.000
Kabupaten Madiun	Rp7.875
Kabupaten Kediri	Rp7.666
Kabupaten Pacitan	Rp7.666
Kabupaten Pasuruan	Rp7.666
Kabupaten Tulungagung	Rp7.666
Kabupaten Trenggalek	Rp7.500
Kabupaten Jombang	Rp7.333
Kota Kediri	Rp7.250
Kabupaten Mojokerto	Rp7.250
Kota Mojokerto	Rp7.250
Kabupaten Tuban	Rp7.166
Kabupaten Bojonegoro	Rp7.000
Kabupaten Magetan	Rp7.000
Kota Probolinggo	Rp6.333
Kabupaten Ponorogo	Rp6.250
Kabupaten Blitar	Rp6.000
